Id,MSSubClass,Zoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,Bsmt,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CeNotralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
314,20,Residential Low Density,150,215245,Pave,NA,IR3,Low,All Public Utilities,Inside,Sev,Timberland,Norm,Norm,Single-Family Detached,1Story,7,5,1965,1965,Hip,CompShg,Brick Face,Brick Face,None,0,TA,TA,CBlock,Has Basement,Gd,TA,Gd,ALQ,1236,Rec,820,80,2136,GasW,TA,Yes,SBrkr,2036,0,0,2036,2,0,2,0,3,1,TA,8,Typ,2,Gd,Attached to House,1965,RFn,2,513,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,6,2009,WD,Normal,375000
336,190,Residential Low Density,NA,164660,Grvl,NA,IR1,HLS,All Public Utilities,Corner,Sev,Timberland,Norm,Norm,Two-Family Conversion,1.5 Stories,5,6,1965,1965,Gable,CompShg,Plywood,Plywood,None,0,TA,TA,CBlock,Has Basement,TA,TA,Gd,ALQ,1249,BLQ,147,103,1499,GasA,Ex,Yes,SBrkr,1619,167,0,1786,2,0,2,0,3,1,TA,7,Typ,2,Gd,Attached to House,1965,Fin,2,529,TA,TA,Y,670,0,0,0,0,0,NA,NA,Shed,700,8,2008,WD,Normal,228950
250,50,Residential Low Density,NA,159000,Pave,NA,IR2,Low,All Public Utilities,CulDSac,Sev,Clear Creek,Norm,Norm,Single-Family Detached,1.5 Stories,6,7,1958,2006,Gable,CompShg,Wood Siding,Hard Board,BrkCmn,472,Gd,TA,CBlock,Has Basement,Gd,TA,Gd,Rec,697,Unf,0,747,1444,GasA,Gd,Yes,SBrkr,1444,700,0,2144,0,1,2,0,4,1,Gd,7,Typ,2,TA,Attached to House,1958,Fin,2,389,TA,TA,Y,0,98,0,0,0,0,NA,NA,Shed,500,6,2007,WD,Normal,277000
707,20,Residential Low Density,NA,115149,Pave,NA,IR2,Low,All Public Utilities,CulDSac,Sev,Clear Creek,Norm,Norm,Single-Family Detached,1Story,7,5,1971,2002,Gable,CompShg,Plywood,Plywood,Stone,351,TA,TA,CBlock,Has Basement,Gd,TA,Gd,GLQ,1219,Unf,0,424,1643,GasA,TA,Yes,SBrkr,1824,0,0,1824,1,0,2,0,2,1,Gd,5,Typ,2,TA,Attached to House,1971,Unf,2,739,TA,TA,Y,380,48,0,0,0,0,NA,NA,NA,0,6,2007,WD,Normal,302000
452,20,Residential Low Density,62,70761,Pave,NA,IR1,Low,All Public Utilities,Inside,Mod,Clear Creek,Norm,Norm,Single-Family Detached,1Story,7,5,1975,1975,Gable,WdShngl,Plywood,Plywood,None,0,TA,TA,CBlock,Has Basement,Gd,TA,Gd,ALQ,655,Unf,0,878,1533,GasA,TA,Yes,SBrkr,1533,0,0,1533,1,0,2,0,2,1,Gd,5,Typ,2,TA,Attached to House,1975,Unf,2,576,TA,TA,Y,200,54,0,0,0,0,NA,NA,NA,0,12,2006,WD,Normal,280000
1299,60,Residential Low Density,313,63887,Pave,NA,IR3,Bnk,All Public Utilities,Corner,Gtl,Edwards,Feedr,Norm,Single-Family Detached,2 Story,10,5,2008,2008,Hip,ClyTile,Stucco,Stucco,Stone,796,Ex,TA,PConc,Has Basement,Ex,TA,Gd,GLQ,5644,Unf,0,466,6110,GasA,Ex,Yes,SBrkr,4692,950,0,5642,2,0,2,1,3,1,Ex,12,Typ,3,Gd,Attached to House,2008,Fin,2,1418,TA,TA,Y,214,292,0,0,0,480,Gd,NA,NA,0,1,2008,New,Partial,160000
1397,20,Residential Low Density,NA,57200,Pave,NA,IR1,Bnk,All Public Utilities,Inside,Sev,Timberland,Norm,Norm,Single-Family Detached,1Story,5,5,1948,1950,Gable,CompShg,Wood Siding,Wood Siding,None,0,TA,TA,CBlock,Has Basement,TA,TA,Av,BLQ,353,Rec,334,60,747,GasA,TA,Yes,SBrkr,1687,0,0,1687,1,0,1,0,3,1,TA,7,Min1,2,TA,Detached,1966,Unf,2,572,TA,TA,N,0,0,50,0,0,0,NA,NA,NA,0,6,2010,WD,Normal,160000
770,60,Residential Low Density,47,53504,Pave,NA,IR2,HLS,All Public Utilities,CulDSac,Mod,StoneBr,Norm,Norm,Single-Family Detached,2 Story,8,5,2003,2003,Hip,CompShg,Cement Board,Wd Shng,BrkFace,603,Ex,TA,PConc,Has Basement,Gd,TA,Gd,ALQ,1416,Unf,0,234,1650,GasA,Ex,Yes,SBrkr,1690,1589,0,3279,1,0,3,1,4,1,Ex,12,Mod,1,Gd,BuiltIn,2003,Fin,3,841,TA,TA,Y,503,36,0,0,210,0,NA,NA,NA,0,6,2010,WD,Normal,538000
458,20,Residential Low Density,NA,53227,Pave,NA,IR1,Low,All Public Utilities,CulDSac,Mod,Clear Creek,Norm,Norm,Single-Family Detached,1Story,4,6,1954,1994,Flat,Tar&Grv,Plywood,Plywood,None,0,TA,TA,CBlock,Has Basement,Gd,TA,Gd,BLQ,1116,Unf,0,248,1364,GasA,Ex,Yes,SBrkr,1663,0,0,1663,1,0,1,0,2,1,Gd,6,Min1,2,Gd,Attached to House,1954,Fin,2,529,TA,TA,Y,224,137,0,0,0,0,NA,NA,NA,0,3,2008,WD,Normal,256000
385,60,Residential Low Density,NA,53107,Pave,NA,IR2,Low,All Public Utilities,Corner,Mod,Clear Creek,Feedr,Norm,Single-Family Detached,2 Story,6,5,1992,1992,Gable,CompShg,Hard Board,Hard Board,None,0,Gd,TA,PConc,Has Basement,Gd,TA,Av,GLQ,985,Unf,0,595,1580,GasA,Ex,Yes,SBrkr,1079,874,0,1953,1,0,2,1,3,1,Gd,9,Typ,2,Fa,Attached to House,1992,Fin,2,501,TA,TA,Y,216,231,0,0,0,0,NA,NA,NA,0,6,2007,WD,Normal,240000
